duration,totalDistance,totalEnergyBurned,vo2max,hr_min,hr_max,hr_q50,hr_q90,hr_q95,hr_q99,whr_min,whr_max,rhr_min,rhr_max,hrv_min,hrv_max,hrv_q50,hrv_q90,hrv_q95,hrv_q99
22.86551439,1.904787516,202.0011589,38.8191,45.0,150.0,60.0,103.0,120.25,143.6500000000002,89.0,89.0,47.0,47.0,46.5846,120.426,89.0084,109.04608000000002,114.73603999999999,119.288008
22.53464151,1.115670585,104.8746669,38.801,44.0,120.0,61.0,74.0,79.09999999999997,94.82,109.0,109.0,46.0,46.0,41.0488,41.0488,41.0488,41.0488,41.0488,41.0488
11.69902505,1.003079489,107.4770431,41.7193,46.0,157.0,69.0,101.10000000000002,109.10000000000002,149.70999999999998,91.5,91.5,49.0,49.0,67.5222,151.748,72.3447,135.86733999999998,143.80767,150.159934
22.84160068,1.059428322,99.49125525,41.9424,48.0,127.0,69.0,92.0,101.0,114.0,105.0,105.0,51.0,51.0,36.8994,75.2272,52.798,70.74136,72.98428,74.778616
34.37862085,1.487689791,154.136818,41.2437,48.0,158.0,74.0,103.0,108.34999999999997,117.0,113.0,113.0,52.0,52.0,23.362,61.9026,47.1805,58.95818,60.43039,61.608157999999996
34.37862085,1.487689791,154.136818,40.9927,48.0,158.0,74.0,103.0,108.34999999999997,117.0,113.0,113.0,52.0,52.0,23.362,61.9026,47.1805,58.95818,60.43039,61.608157999999996
28.0342046,1.095906613,100.6418707,40.9033,47.0,129.0,64.0,105.60000000000002,119.80000000000001,126.0,108.0,108.0,48.0,48.0,78.6249,134.502,86.37895,122.19597,128.348985,133.27139699999998
28.0342046,1.095906613,100.6418707,40.9106,47.0,129.0,64.0,105.60000000000002,119.80000000000001,126.0,108.0,108.0,48.0,48.0,78.6249,134.502,86.37895,122.19597,128.348985,133.27139699999998
36.64312717,4.470763463,492.5824757,42.15,47.0,196.0,63.0,143.10000000000002,160.10000000000002,192.02999999999997,86.0,86.0,49.0,49.0,67.6055,67.6055,67.6055,67.6055,67.6055,67.6055
14.59617692,1.2663766,157.3264267,42.0334,49.0,142.0,71.0,105.0,126.0,140.39999999999998,87.5,87.5,51.0,51.0,38.3992,117.3,77.8496,109.40992,113.35495999999999,116.510992
52.48414677,2.835533903,244.7850584,42.0132,52.0,114.0,71.0,87.0,92.0,100.0,89.0,109.0,48.0,48.0,35.1612,136.574,74.5781,119.97944000000003,128.27671999999998,134.914544
19.11226938,1.193261541,120.024,41.7529,46.0,164.0,67.0,106.80000000000001,112.39999999999998,140.20000000000073,135.0,135.0,48.0,48.0,37.2072,96.1262,83.0685,93.51465999999999,94.82043,95.865046
19.11226938,1.193261541,120.024,41.4327,46.0,164.0,67.0,106.80000000000001,112.39999999999998,140.20000000000073,135.0,135.0,48.0,48.0,37.2072,96.1262,83.0685,93.51465999999999,94.82043,95.865046
25.94282263,3.174658899,357.5635974,41.4135,47.0,203.0,69.0,149.8,168.69999999999993,198.76,87.5,131.5,48.0,49.0,21.755,118.234,69.383,106.3723,112.30315,117.04782999999999
25.94282263,3.174658899,357.5635974,42.2249,47.0,203.0,69.0,149.8,168.69999999999993,198.76,87.5,131.5,48.0,49.0,21.755,118.234,69.383,106.3723,112.30315,117.04782999999999
25.7846519,1.793018098,198.595,40.8738,47.0,116.0,62.0,107.0,111.0,114.0,90.0,90.0,46.0,48.0,40.0297,119.395,73.0402,110.12404000000001,114.75952,118.46790399999999
69.83498143,8.015384119,1064.783333,41.2343,43.0,201.0,66.0,156.8,171.79999999999995,198.0,104.0,104.0,46.0,46.0,56.2511,209.384,165.03050000000002,201.9149,205.64945,208.63708999999997
19.21706013,1.078798893,101.4172662,41.4049,45.0,107.0,60.0,91.60000000000002,96.0,103.66000000000003,,,48.0,48.0,55.1294,100.95,59.8133,92.72266,96.83632999999999,100.12726599999999
19.21706013,1.078798893,101.4172662,41.1969,45.0,107.0,60.0,91.60000000000002,96.0,103.66000000000003,,,48.0,48.0,55.1294,100.95,59.8133,92.72266,96.83632999999999,100.12726599999999
